PriorScale,CurrentScale,Percentage
800,170,99
790,170,99
780,170,99
770,170,99
760,170,99
750,169,99
740,169,99
730,168,98
720,168,98
710,167,98
700,166,97
690,165,96
680,165,96
670,164,94
660,164,94
650,163,93
640,162,91
630,162,91
620,161,88
610,160,86
600,160,86
590,159,83
580,158,80
570,158,80
560,157,76
550,156,73
540,156,73
530,155,69
520,154,65
510,154,65
500,153,61
490,152,56
480,152,56
470,151,52
460,151,52
450,150,48
440,149,43
430,149,43
420,148,39
410,147,35
400,146,31
390,146,31
380,145,27
370,144,24
360,143,20
350,143,20
340,142,17
330,141,15
320,140,12
310,139,9
300,138,8
290,137,6
280,135,3
270,134,2
260,133,2
250,132,1
240,131,1
230,130,0
220,130,0
210,130,0
200,130,0
